,oTime,End,file_name,oF2,Start,oF1,Dur,gilbert_number,oF3_mean,NumberPoles,Unnamed: 0,iver_number,post_sound,transcription,speaker_number,oF1_mean,id,location,Vowel,target_form,gTime,oF2_mean,oPitch,gPitch,oF3_oF1_coords,Notes,File/Spkr,input_form,variable,MaxFormants,oF3,dob,gender,pre_sound,gF1,gF2,gF3,oF2_oF1_coords
398,"[nan, 0.81599999999999995, 2.278, nan, nan, nan]","[nan, 0.81599999999999995, 2.3380000000000001, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-398-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-398-1-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-398-1-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-398-1-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-398-1-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-398-1-125-a.wav']","[nan, 2154.9099999999999, 2174.2600000000002, nan, nan, nan]","[nan, 0.81599999999999995, 2.2469999999999999, nan, nan, nan]","[nan, 483.10000000000002, 579.45000000000005, nan, nan, nan]","[nan, 0.0, 0.089999999999999997, nan, nan, nan]","[1, 16, 21, 111, 125, 125]",2347.55,"[nan, 10.0, 10.0, nan, nan, nan]","[41, 23, 21, 33, 28, 28]","[53, 53, 53, 53, 53, 53]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",398,531.275,"['53-398-1-1-a.wav', '53-398-1-16-a.wav', '53-398-1-21-a.wav', '53-398-1-111-a.wav', '53-398-1-125-a.wav', '53-398-1-125-a.wav']",fredericksburg,"[nan, '\xca\x8f', '\xca\x8f', nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[nan, 0.81599999999999995, 2.3080000000000003, nan, nan, nan]",2164.585,"[nan, '84.61', '173.00', nan, nan, nan]","[nan, '84.61', '160.96', nan, nan, nan]","(2347.5500000000002, 531.27500000000009)","[nan, nan, nan, nan, nan, nan]","[nan, '53-398-1-16-a', '53-398-1-21-a', nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, '5500 Hz', '5500 Hz', nan, nan, nan]","[nan, 2472.8899999999999, 2222.21, nan, nan, nan]",0,f,"['b', 'b', 'b', 'v', 'k', 'k']","[nan, 483.10000000000002, 638.32000000000005, nan, nan, nan]","[nan, 2154.9099999999999, 1942.48, nan, nan, nan]","[nan, 2472.8899999999999, 2847.6100000000001, nan, nan, nan]","(2164.585, 531.27500000000009)"
401,"[nan, 0.51500000000000001, 1.3240000000000001]","[nan, 0.57499999999999996, 1.3899999999999999]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-401-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-401-1-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-401-1-21-a.wav']","[nan, 1685.7, 1745.3099999999999]","[nan, 0.48599999999999999, 1.2909999999999999]","[nan, 483.50999999999999, 458.93000000000001]","[nan, 0.08900000000000001, 0.099000000000000005]","[1, 16, 21]",2291.11,"[nan, 10.0, 10.0]","[42, 24, 22]","[53, 53, 53]","['\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99']",401,471.22,"['53-401-1-1-a.wav', '53-401-1-16-a.wav', '53-401-1-21-a.wav']",fredericksburg,"[nan, '\xca\x8f', '\xca\x8f']","['die haarbuerste', 'eine haarbuerste', 'eine haarbuerste']","[nan, 0.54500000000000004, 1.357]",1715.505,"[nan, '211.95', '161.41']","[nan, '214.83', '154.70']","(2291.1099999999997, 471.22000000000003)","[nan, nan, nan]","[nan, '53-401-1-16-a', '53-401-1-21-a']","['a hairbrush ', 'a hairbrush ', 'a hairbrush ']","['\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, '5500 Hz', '5500 Hz']","[nan, 2326.73, 2255.4899999999998]",0,f,"['b', 'b', 'b']","[nan, 571.86000000000001, 466.56999999999999]","[nan, 1735.5599999999999, 1708.6400000000001]","[nan, 2370.8699999999999, 2252.1300000000001]","(1715.5050000000001, 471.22000000000003)"
402,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-402-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-402-1-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-402-1-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-402-1-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-402-1-125-a.wav']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[1, 16, 111, 125, 125]",,"[nan, nan, nan, nan, nan]","[43, 25, 34, 29, 29]","[53, 53, 53, 53, 53]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",402,,"['53-402-1-1-a.wav', '53-402-1-16-a.wav', '53-402-1-111-a.wav', '53-402-1-125-a.wav', '53-402-1-125-a.wav']",fredericksburg,"[nan, nan, nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[nan, nan, nan, nan, nan]",,"[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","(nan, nan)","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",0,f,"['b', 'b', 'v', 'k', 'k']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]","(nan, nan)"
403,"[0.82599999999999996, nan, nan, nan]","[0.88200000000000001, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-403-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-403-2-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-403-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-403-2-125-a.wav']","[1600.73, nan, nan, nan]","[0.79799999999999993, nan, nan, nan]","[587.87, nan, nan, nan]","[0.083000000000000004, nan, nan, nan]","[1, 111, 125, 125]",2375.33,"[10.0, nan, nan, nan]","[31, 21, 20, 20]","[1, 1, 1, 1]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",403,587.87,"['1-403-2-1-a.wav', '1-403-2-111-a.wav', '1-403-2-125-a.wav', '1-403-2-125-a.wav']",fredericksburg,"['\xca\x8f', nan, nan, nan]","['die haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[0.85400000000000009, nan, nan, nan]",1600.73,"['117.32', nan, nan, nan]","['118.80', nan, nan, nan]","(2375.3299999999999, 587.87)","[nan, nan, nan, nan]","['1-403-2-1-a', nan, nan, nan]","['a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', nan, nan, nan]","[2375.3299999999999, nan, nan, nan]",1933,m,"['b', 'v', 'k', 'k']","[591.83000000000004, nan, nan, nan]","[1662.9300000000001, nan, nan, nan]","[2527.8899999999999, nan, nan, nan]","(1600.73, 587.87)"
404,"[0.97900000000000009, nan, 0.59799999999999998, nan]","[1.028, nan, 0.66599999999999993, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/105-404-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/105-404-1-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/105-404-1-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/105-404-1-111-a.wav']","[2177.48, nan, 1387.8199999999999, nan]","[0.95400000000000007, nan, 0.56399999999999995, nan]","[770.34000000000003, nan, 630.70000000000005, nan]","[0.072999999999999995, nan, 0.10300000000000001, nan]","[1, 16, 21, 111]",2722.96,"[10.0, nan, 10.0, nan]","[32, 16, 16, 22]","[105, 105, 105, 105]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n']",404,700.52,"['105-404-1-1-a.wav', '105-404-1-16-a.wav', '105-404-1-21-a.wav', '105-404-1-111-a.wav']",fredericksburg,"['\xca\x8f', nan, '\xca\x8f', nan]","['die haarbuerste', 'eine haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen']","[1.0029999999999999, nan, 0.63200000000000001, nan]",1782.65,"['196.32', nan, '210.25', nan]","['--undefined--', nan, '211.98', nan]","(2722.96, 700.51999999999998)","[nan, nan, nan, nan]","['105-404-1-1-a', nan, '105-404-1-21-a', nan]","['a hairbrush ', 'a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', nan, '5500 Hz', nan]","[2809.9400000000001, nan, 2635.98, nan]",0,f,"['b', 'b', 'b', 'v']","[787.32000000000005, nan, 740.13999999999999, nan]","[1843.1300000000001, nan, 1888.96, nan]","[2486.7199999999998, nan, 2422.3200000000002, nan]","(1782.6500000000001, 700.51999999999998)"
405,"[0.75900000000000001, nan, nan, nan]","[0.80400000000000005, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/107-405-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/107-405-2-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/107-405-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/107-405-2-125-a.wav']","[2048.9000000000001, nan, nan, nan]","[0.73599999999999999, nan, nan, nan]","[476.45999999999998, nan, nan, nan]","[0.067000000000000004, nan, nan, nan]","[1, 111, 125, 125]",2759.94,"[10.0, nan, nan, nan]","[33, 23, 21, 21]","[107, 107, 107, 107]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",405,476.46,"['107-405-2-1-a.wav', '107-405-2-111-a.wav', '107-405-2-125-a.wav', '107-405-2-125-a.wav']",fredericksburg,"['\xca\x8f', nan, nan, nan]","['die haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[0.78099999999999992, nan, nan, nan]",2048.9,"['120.69', nan, nan, nan]","['116.04', nan, nan, nan]","(2759.9400000000001, 476.45999999999998)","[nan, nan, nan, nan]","['107-405-2-1-a', nan, nan, nan]","['a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', nan, nan, nan]","[2759.9400000000001, nan, nan, nan]",1928,m,"['b', 'v', 'k', 'k']","[556.86000000000001, nan, nan, nan]","[2094.7600000000002, nan, nan, nan]","[2785.7199999999998, nan, nan, nan]","(2048.9000000000001, 476.45999999999998)"
406,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/108-406-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/108-406-1-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/108-406-1-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/108-406-1-111-a.wav']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[1, 16, 21, 111]",,"[nan, nan, nan, nan]","[34, 17, 17, 24]","[108, 108, 108, 108]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n']",406,,"['108-406-1-1-a.wav', '108-406-1-16-a.wav', '108-406-1-21-a.wav', '108-406-1-111-a.wav']",fredericksburg,"[nan, nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen']","[nan, nan, nan, nan]",,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)","[nan, nan, nan, nan]","[nan, nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","[nan, nan, nan, nan]","[nan, nan, nan, nan]",1947,m,"['b', 'b', 'b', 'v']","[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, nan]","(nan, nan)"
407,"[0.69599999999999995, 0.53799999999999992, nan, nan, nan]","[0.74400000000000011, 0.6409999999999999, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-407-2-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-407-2-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-407-2-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-407-2-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-407-2-125-a.wav']","[2223.4400000000001, 2280.6500000000001, nan, nan, nan]","[0.67200000000000004, 0.48700000000000004, nan, nan, nan]","[643.04999999999995, 506.50999999999999, nan, nan, nan]","[0.070999999999999994, 0.154, nan, nan, nan]","[1, 16, 111, 125, 125]",3004.395,"[10.0, 10.0, nan, nan, nan]","[35, 18, 25, 22, 22]","[110, 110, 110, 110, 110]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",407,574.78,"['110-407-2-1-a.wav', '110-407-2-16-a.wav', '110-407-2-111-a.wav', '110-407-2-125-a.wav', '110-407-2-125-a.wav']",fredericksburg,"['\xca\x8f', '\xca\x8f', nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[0.71999999999999997, 0.58999999999999997, nan, nan, nan]",2252.045,"['79.81', '169.05', nan, nan, nan]","['79.82', '168.11', nan, nan, nan]","(3004.395, 574.77999999999997)","[nan, nan, nan, nan, nan]","['110-407-2-1-a', '110-407-2-16-a', nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', '5500 Hz', nan, nan, nan]","[2976.4099999999999, 3032.3800000000001, nan, nan, nan]",0,f,"['b', 'b', 'v', 'k', 'k']","[777.38, 611.36000000000001, nan, nan, nan]","[2079.9299999999998, 1818.3800000000001, nan, nan, nan]","[2837.6300000000001, 2797.0500000000002, nan, nan, nan]","(2252.0450000000001, 574.77999999999997)"
408,"[1.02, 0.48599999999999999, 0.89800000000000002, nan, nan, nan]","[1.083, 0.56399999999999995, 0.995, nan, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-408-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-408-1-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-408-1-21-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-408-1-111-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-408-1-125-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-408-1-125-a.wav']","[2296.7199999999998, 1915.01, 1968.8299999999999, nan, nan, nan]","[0.9890000000000001, 0.44600000000000001, 0.84900000000000009, nan, nan, nan]","[482.99000000000001, 589.79999999999995, 531.30999999999995, nan, nan, nan]","[0.094, 0.11800000000000001, 0.14599999999999999, nan, nan, nan]","[1, 16, 21, 111, 125, 125]",2634.32666667,"[10.0, 10.0, 10.0, nan, nan, nan]","[36, 19, 18, 26, 23, 23]","[110, 110, 110, 110, 110, 110]","['\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas', 'a\xc9\xaa\xcc\xafn \xcb\x88k\xca\x8f\xca\x81b\xc9\xaas']",408,534.7,"['110-408-1-1-a.wav', '110-408-1-16-a.wav', '110-408-1-21-a.wav', '110-408-1-111-a.wav', '110-408-1-125-a.wav', '110-408-1-125-a.wav']",fredericksburg,"['\xca\x8f', '\xca\x8f', '\xca\x8f', nan, nan, nan]","['die haarbuerste', 'eine haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen', 'ein kuerbis', 'ein kuerbis']","[1.052, 0.52500000000000002, 0.94599999999999995, nan, nan, nan]",2060.18666667,"['161.97', '146.44', '161.62', nan, nan, nan]","['155.83', '136.25', '158.02', nan, nan, nan]","(2634.3266666666664, 534.69999999999993)","[nan, nan, nan, nan, nan, nan]","['110-408-1-1-a', '110-408-1-16-a', '110-408-1-21-a', nan, nan, nan]","['a hairbrush ', 'a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ', 'a pumpkin (the fruit of Cucurbita pepo) ', 'a pumpkin (the fruit of Cucurbita pepo) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', '5500 Hz', '5500 Hz', nan, nan, nan]","[2852.6900000000001, 2537.8000000000002, 2512.4899999999998, nan, nan, nan]",0,f,"['b', 'b', 'b', 'v', 'k', 'k']","[498.81, 612.64999999999998, 580.86000000000001, nan, nan, nan]","[2253.5999999999999, 1774.78, 1730.78, nan, nan, nan]","[2804.9899999999998, 2351.48, 2192.9299999999998, nan, nan, nan]","(2060.1866666666665, 534.69999999999993)"
410,"[2.6480000000000001, nan, nan]","[2.6970000000000001, nan, nan]","['/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/111-410-1-1-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/111-410-1-16-a.wav', '/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/111-410-1-111-a.wav']","[2295.0900000000001, nan, nan]","[2.6230000000000002, nan, nan]","[696.77999999999997, nan, nan]","[0.07400000000000001, nan, nan]","[1, 16, 111]",2472.02,"[10.0, nan, nan]","[37, 20, 27]","[111, 111, 111]","['\xca\x81', '\xca\x81', '\xca\x81']","['di\xcb\x90 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', '\xcb\x88a\xc9\xaa\xcc\xafn\xc9\x99 ha\xcb\x90\xc9\x90\xcc\xaf\xcb\x88b\xca\x8f\xca\x81st\xc9\x99', 'a\xc9\xaa\xcc\xafn \xcb\x88\xc9\xa1ly\xcb\x90\xcb\x8cv\xca\x8f\xca\x81m\xc3\xa7\xc9\x99n']",410,696.78,"['111-410-1-1-a.wav', '111-410-1-16-a.wav', '111-410-1-111-a.wav']",fredericksburg,"['\xca\x8f', nan, nan]","['die haarbuerste', 'eine haarbuerste', 'ein gluehwuermchen']","[2.673, nan, nan]",2295.09,"['190.37', nan, nan]","['195.10', nan, nan]","(2472.02, 696.77999999999997)","[nan, nan, nan]","['111-410-1-1-a', nan, nan]","['a hairbrush ', 'a hairbrush ', 'a lightning bug (Lampyridae) ']","['\xca\x8f', '\xca\x8f', '\xca\x8f']","['5500 Hz', nan, nan]","[2472.02, nan, nan]",0,f,"['b', 'b', 'v']","[844.32000000000005, nan, nan]","[2333.2600000000002, nan, nan]","[2440.9099999999999, nan, nan]","(2295.0900000000001, 696.77999999999997)"
